set2_id,DataVizRoles_Freelance,DataVizRoles_Employee,DataVizRoles_Hobbyist,DataVizRoles_Student,DataVizRoles_Academic,DataVizRoles_PassiveIncome,DataVizRoles_PreferNot,WorkSituRecent,WorkSituPreferred,RoleAsFreelance,RoleAsEmployee,OrgSector_,OrgSector_Public,OrgSector_Private,OrgSector_Nonprofit,OrgSector_Academia,OrgSector_Other__,OrgIndustry_,OrgIndustry_Finance,OrgIndustry_HealthMed,OrgIndustry_IT,OrgIndustry_Journalism,OrgIndustry_Marketing,OrgIndustry_ConsultantMulti,OrgIndustry_Other__,AcadArea,AcadDataVizUse_,AcadDataVizUse_ShareFindings,AcadDataVizUse_TeachDataViz,AcadDataVizUse_ResearchTopic,AcadDataVizUse_OtherTeaching,AcadDataVizUse_Other__,StudentTime,StudentDegreeLevel,StudentDataVizTaught,StudentDegreeArea__,HobbyTime,Hobby,HobbyEnjoyment,HobbyPortfolio,HobbyVolunteer,HobbyShareMessages,HobbyBuildSkills,EducLevel,EducUndergradArea_,EducUndergradArea_ArtsHumanities,EducUndergradArea_Business,EducUndergradArea_Education,EducUndergradArea_HealthMed,EducUndergradArea_PublicSocialServices,EducUndergradArea_ScienceMathTech,EducUndergradArea_SocialSciences,EducUndergradArea_TradesPersonalServices,EducUndergradArea_MultiInterdisc,EducUndergradArea_Other__,EducGradArea_,EducGradArea_ArtsHumanities,EducGradArea_Business,EducGradArea_Education,EducGradArea_HealthMed,EducGradArea_PublicSocialServices,EducGradArea_ScienceMathTech,EducGradArea_SocialSciences,EducGradArea_TradesPersonalServices,EducGradArea_MultiInterdisc,EducGradArea_Other__,DVSMembership
fnOJ,[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Remote (fully or mostly),Remote (fully or mostly),[\unasked],Scientist,2,[^not chosen],x,x,[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],5 hours or less,5,Rarely,Sometimes,Often,Sometimes,Sometimes,"Doctoral degree (e.g., PhD, EdD, PsyD)",1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],Yes
NHXk,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Remote (fully or mostly),Remote (fully or mostly),[\unasked],"Leadership (Manager, Director, VP, etc.)",1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Master’s (or similar graduate degree),1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],No
sMVZ,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Hybrid,Remote (fully or mostly),[\unasked],"Leadership (Manager, Director, VP, etc.)",1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Bachelor’s degree,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Yes
rIQE,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Remote (fully or mostly),Remote (fully or mostly),[\unasked],Designer,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Aerospace,[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Bachelor’s degree,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Yes
bYAh,x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Remote (fully or mostly),Remote (fully or mostly),Designer,Developer,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Bachelor’s degree,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],No
cbNU,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Remote (fully or mostly),Remote (fully or mostly),"Leadership (Manager, Director, VP, etc.)",[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Master’s (or similar graduate degree),1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],2,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],Political Science,No
nFFV,x,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],Remote (fully or mostly),Remote (fully or mostly),"Leadership (Manager, Director, VP, etc.)",[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Full time,PhD/Doctorate,No,Evaluation,[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Master’s (or similar graduate degree),2,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],2,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],No
epBq,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Remote (fully or mostly),Remote (fully or mostly),Teacher,[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Master’s (or similar graduate degree),1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Yes
dFMw,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Hybrid,Remote (fully or mostly),[\unasked],"Leadership (Manager, Director, VP, etc.)",1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Regulatory organization,[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Master’s (or similar graduate degree),1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],No
QtBW,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Remote (fully or mostly),Remote (fully or mostly),[\unasked],Analyst,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],2,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Public health,[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Master’s (or similar graduate degree),2,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Yes
BBjn,x,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],Remote (fully or mostly),Remote (fully or mostly),Designer,[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Social Sciences,2,x,x,[^not chosen],[^not chosen],[^not chosen],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Master’s (or similar graduate degree),1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],Yes
sOWP,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Remote (fully or mostly),Remote (fully or mostly),[\unasked],None of these describes my role,2,[^not chosen],x,x,[^not chosen],[^not chosen],1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Bachelor’s degree,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],No
qQBW,x,x,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],Remote (fully or mostly),Remote (fully or mostly),Teacher,Analyst,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Mobile Gaming,"Science, Math, and Technology",2,[^not chosen],x,[^not chosen],x,[^not chosen],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Bachelor’s degree,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Yes
nXdQ,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Remote (fully or mostly),Remote (fully or mostly),[\unasked],Journalist,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],4,[^not chosen],[^not chosen],x,x,x,x,[^not chosen],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Some college,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Journalism,0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Yes
yqPx,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Hybrid,Remote (fully or mostly),[\unasked],Analyst,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Local government,[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Master’s (or similar graduate degree),1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Yes
JxlM,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Hybrid,Remote (fully or mostly),[\unasked],Analyst,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Media,[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Bachelor’s degree,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],I don’t know
EovZ,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Hybrid,Remote (fully or mostly),[\unasked],Analyst,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],Master’s (or similar graduate degree),1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],No
