set3_id,DataVizRoles_collapsed,RoleAsFreelance,RoleAsEmployee,YearsDataVizExperience_buckets,PayCurrency_cleaned,PayAnnual,PayHourly,PayComparison,Loc1Country,OrgIndustry_,OrgIndustry_Finance,OrgIndustry_HealthMed,OrgIndustry_IT,OrgIndustry_Journalism,OrgIndustry_Marketing,OrgIndustry_ConsultantMulti,OrgIndustry_Other__,OrgSize,EmployChanged,EmployNewWanted,EducLevel,Gender_summarized
XcyB,Employee,[\unasked],Journalist,6-10,USD - United States Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Somewhat higher,United States,4,[^not chosen],[^not chosen],x,x,x,x,[^not chosen],Fewer than 20 employees,No,No,Some college,Woman
hhFu,Employee,[\unasked],Journalist,1-5,EUR - Euro Member Countries,"$10,000 - $19,999",[^not answered],Similar,Portugal,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],100–499 employees,Yes,No,Bachelor’s degree,Woman
BPSc,Academic,[\unasked],"Leadership (Manager, Director, VP, etc.)",Less than 1 year,CAD - Canada Dollar,"$120,000 - $139,999",I am not compensated on an hourly or project basis,Similar,Canada,4,x,x,[^not chosen],x,x,[^not chosen],[^not chosen],Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Man
rQcf,Academic,[\unasked],"Leadership (Manager, Director, VP, etc.)",11-15,USD - United States Dollar,"$200,000 - $219,999",[^not answered],Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,No,Bachelor’s degree,Man
eoGc,Student,[\unasked],Journalist,,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,Yes,Master’s (or similar graduate degree),Man
ZaSr,OtherCombo,[\unasked],Designer,1-5,EUR - Euro Member Countries,"$20,000 - $39,999",I am not compensated on an hourly or project basis,Somewhat lower,France,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,No,Technical school,Woman
BdZy,Academic,[\unasked],"Leadership (Manager, Director, VP, etc.)",16-20,GBP - United Kingdom Pound,[^not answered],[^not answered],[^not answered],United Kingdom,6,x,x,x,x,[^not chosen],x,Social science,"1,000–4,999 employees",No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Man
cstn,Employee,[\unasked],Journalist,1-5,USD - United States Dollar,"$120,000 - $139,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,Yes,"Doctoral degree (e.g., PhD, EdD, PsyD)",Man
SLcx,Employee,[\unasked],Journalist,1-5,USD - United States Dollar,"$40,000 - $59,999",[^not answered],Much lower,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20–99 employees,Yes,No,Master’s (or similar graduate degree),Woman
rrfX,Employee,[\unasked],Designer,1-5,CAD - Canada Dollar,"$20,000 - $39,999",$15 - $29,Similar,Canada,6,x,x,x,x,x,x,[^not chosen],Fewer than 20 employees,No,No,Technical school,Woman
dAWt,Employee,[\unasked],Journalist,6-10,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,No,Master’s (or similar graduate degree),Woman
vZpd,Skipped question,Designer,Designer,1-5,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],500–999 employees,No,No,Master’s (or similar graduate degree),Woman
NUnx,Employee,[\unasked],Journalist,1-5,USD - United States Dollar,"$60,000 - $79,999",[^not answered],Much lower,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,No,Master’s (or similar graduate degree),Man
giHV,Employee,[\unasked],Journalist,1-5,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,No,Master’s (or similar graduate degree),Man
rXhT,Employee,[\unasked],Journalist,1-5,INR - India Rupee,"$80,000 - $99,999",$15 - $29,Somewhat lower,India,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],500–999 employees,No,Yes,Master’s (or similar graduate degree),Man
wQLe,Freelance,[\unasked],Journalist,6-10,GBP - United Kingdom Pound,"$40,000 - $59,999",I am not compensated on an hourly or project basis,Somewhat lower,United Kingdom,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,Yes,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
OfGq,Employee,[\unasked],Journalist,1-5,GBP - United Kingdom Pound,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Somewhat higher,United Kingdom,2,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],Government,"5,000+ employees",No,No,Master’s (or similar graduate degree),Man
LCkA,Hobbyist,[\unasked],Developer,1-5,EUR - Euro Member Countries,"$10,000 - $19,999",Less than $15,Similar,India,2,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],x,[^not chosen],Fewer than 20 employees,Yes,Yes,Bachelor’s degree,Man
lTGq,Employee,[\unasked],Designer,1-5,AUD - Australia Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,[^not answered],Australia,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,Yes,Bachelor’s degree,Man
MktM,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,USD - United States Dollar,"$240,000 or more",I am not compensated on an hourly or project basis,Similar,United States,3,[^not chosen],x,[^not chosen],x,[^not chosen],[^not chosen],Economics; Justice; Education; Social Science,"1,000–4,999 employees",No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Man
hORl,EmployeeAND,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,SGD - Singapore Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Somewhat higher,Singapore,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,Yes,Master’s (or similar graduate degree),Woman
QMYf,Employee,Designer,Designer,1-5,EUR - Euro Member Countries,"$60,000 - $79,999",$100 - $124,Somewhat higher,Spain,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],100–499 employees,Yes,No,Master’s (or similar graduate degree),Woman
ibLs,EmployeeANDFreelanceAND,Developer,Developer,1-5,GBP - United Kingdom Pound,"$80,000 - $99,999",$75 - $99,Similar,United Kingdom,1,[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],Fewer than 20 employees,No,No,Bachelor’s degree,Man
